4530961809546	4740189978762	15014738362749,15014786793853,15014744686973,15014751895933,15014756876669,15014762152317,15014766543229,15014770770301,15014780666237
15292143501693	7965862789342,15876383474045,15292213887357	4859165245578
4859764048010	8015156281566,4716924436618,4871907442826,8359006863582	4716677398666,4778845208714,4778555932810
15292213887357	8057116360926,15292222898557	15222536044925,15167757812093,15167021384061,8498897715422
6626600059030	8359156482270,7855467626718,7855507931358,7855517761758,7855436431582	6626588262550
8475364720862	8475374977246,8340562575582,4745640771722,8339286589662,8164171219166,8164178198750	15292115681661,15292121252221,8257318158558
7898205946078	-	-
4778981163146	4779014062218,7873518272734	8463114502366,4389479284874,6124508610710,8057122062558,8057129828574,7431737540830
8663647846622	4531031081098,4740727505034,8075554226398	4530961809546,4778252664970,4778175692938,7431781908702,7696894492894
4743994507402	8664074092766,8475372093662,4746332536970,8164185735390	7965862789342
4716677398666	4869714149514,4871907442826,4716924436618,8391319191774,8342572171486,8122456047838	4859764048010,4778845208714,4778555932810,4782908407946
7431781908702	4387578052746,8057116360926,4531290308746,4389326848138,4746057318538	6949632147606,7431737540830
5257857761430	7965850927326,4716924436618,8342572171486,8122456047838,4869714149514,8391319191774	(empty)
8342572171486	4716924436618,8122456047838,4869714149514,8391319191774,5062638141578,4859222360202,4871907442826	8122456047838
7710569038046	4716924436618	7873518272734,7710439211230,7710224023774,7710682874078,7710714364126,7710738055390,7710743789790
8122456047838	8342572171486,4716924436618,5062638141578,4869714149514,8391319191774	8342572171486
6626588262550	8359156482270,7855467626718,7855507931358,7855517761758,7855436431582	6626600059030
14933887877501	8163575726302,8163485319390,8163479683294,4745377087626	8339286589662
8359141114078	8358932119774,4746332536970,8164185735390	8475372093662
15167832949117	8359141114078	15876383310205,15876558619005,7965862789342
7965862789342	8359141114078,14933921005949,4746332536970,8164185735390	15876383474045,15876560879997
15876558619005	8359141114078,8358932119774,4746332536970,14933921005949,8164185735390	7965862789342
15876560879997	8359141114078,8358932119774,4746332536970,14933921005949,8164185735390	7965862789342
15876383310205	8359141114078,8358932119774,14933921005949,4746332536970,8164185735390	7965862789342
15876383474045	8359141114078,8358932119774,14933921005949,4746332536970,8164185735390	7965862789342
15222536044925	8463114502366,4389479284874,6124508610710,8057122062558,8057129828574,7431737540830	15292213887357,4787039174794
15310176354685	8463114502366,4389479284874,6124508610710,8057122062558,8057129828574,7431737540830	4787039174794
7696894492894	8163934732510,8163911270622	8381724000478
15693620412797	15693648167293,15828443234685	8015156281566,15693648167293,15828443234685
15828443234685	8015156281566	15693620412797,15693648167293
8475374977246	4745640771722,8164171219166	8475372093662
15496300986749	8498897715422,15222536044925,15167757812093	15874396488061,15874500690301,15292213887357
4531290308746	8015156281566,8358993887454	4389326848138
8340562575582	8475364720862,8475374977246,8339286589662,8164178198750,4745640771722	4746332536970,4743994507402
8015156281566	7710682874078	4387578052746,6949632147606,4531290308746,4746057318538,8057116360926
4745640771722	8164171219166,8475374977246,8475364720862,8340562575582,8339286589662,8164178198750	8340562575582
7710738055390	7710439211230,7710682874078	7873518272734,7710743789790,7710569038046
7710743789790	7710224023774,7710714364126,7431737540830,6124508610710	7873518272734,7710738055390,7710569038046
7877730697438	7981935395038	(empty)
4387578052746	7855560720606,7855570944222,7855574974686	6124508610710
7855411986654	7855668691166	7855410544862,7855419490526
7855419490526	7855668691166	7855410544862,7855411986654
7855410544862	7855668691166	7855411986654,7855419490526
7855633891550	7855668691166	7855614230750
7855614230750	7855668691166	7855633891550
7855467626718	-	7855436431582,7855517761758,7855507931358
7855507931358	-	7855436431582,7855517761758,7855467626718
7855517761758	(empty)	7855436431582,7855467626718,7855507931358
7855436431582	-	7855467626718,7855507931358,7855517761758
7855668691166	7710569038046	7855410544862,7855614230750,7855436431582,7855560720606,7855597486302,7855578972382
7855570944222	7855668691166	7855560720606,7855574974686
7855574974686	7855668691166	7855560720606,7855570944222
7855560720606	7855668691166	7855570944222,7855574974686
7855602532574	7855668691166	7855597486302
7855597486302	7855668691166	7855602532574
7855647260894	7873518272734,7710439211230,7710224023774	7855668691166
7855583789278	7855668691166	7855578972382,7855586017502
7855586017502	7855668691166	7855578972382,7855583789278
7855578972382	7855668691166	7855583789278,7855586017502
4743052132490	8057116360926,4746057318538,4531290308746,4387578052746	8015156281566
15292107686269	15292222898557,8057116360926	15877019566461,15877018354045
15877018354045	15292222898557,15875098476925	15292107686269,15292222898557
15877019566461	15292222898557,15875098476925	15292107686269,15292222898557
8257318158558	-	8015156281566
4740727505034	4740189978762,4530961809546,4740690477194,4531031081098,8075554226398	4716677398666,4859764048010,4782908407946
8075554226398	4740189978762,4530961809546,4740690477194,8663647846622,4531031081098,4740727505034	4716677398666,4859764048010,4782908407946
4745377087626	4745640771722,8164171219166,8163479683294	8340562575582
15874400944509	8498897715422,4389479284874,4531290308746,4389326848138	8463114502366,4859165245578
15167757812093	8498897715422,15167021384061,15496300986749	15874396488061,15874500690301,15292213887357
15167021384061	15167757812093,8498897715422	15874396488061,15874500690301
15874500690301	8498897715422,4389479284874,4389326848138	8463114502366
15874396488061	8498897715422,4389479284874,4531290308746,4389326848138	8463114502366,4859165245578
8498897715422	4389479284874,4531290308746,4389326848138	4859165245578,8015156281566
15874500329853	8498897715422,4389479284874,4389326848138	8463114502366
8463114502366	8498897715422,4389479284874,4531290308746,4389326848138	4859165245578
4389479284874	8498897715422,8463114502366	4859165245578,4531290308746,4389326848138
6949632147606	8057122062558,8057116360926	7431737540830,7431781908702
4869714149514	4716924436618,8342572171486	4716924436618,8342572171486
7710682874078	7855597486302,7855602532574	7710714364126,7710569038046,7873518272734
7710714364126	7855597486302,7855602532574	7873518272734,7710682874078,7710569038046
15875496083837	15875492479357	15875401023869,15875403874685
15875492479357	15875496083837	15875402465661,15875405087101
15924569342333	8057129828574	6124508610710,4387578052746
15924597358973	8057129828574	6124508610710,4387578052746
15924517601661	15924484112765	6124508610710,4387578052746
15924484112765	15924517601661	6124508610710,4387578052746
4778175692938	4716924436618,8391319191774,4859222360202,5062638141578,4869714149514,4871907442826,16009492332925	4778252664970,4782908407946,16009492332925
8391319191774	8342572171486,8122456047838,4869714149514,5062638141578	4716924436618,4871907442826
16009693626749	8391319191774,16008994718077,16008958148989	16009123201405,16009484829053,4779014062218,4716982337674
16009492332925	4778252664970,4782908407946	4778175692938,4782908407946
4778252664970	4716677398666,4782908407946,16009492332925	4778175692938,4782908407946
6573834141846	-	-
16008915681661	-	-
4871907442826	8122456047838,8342572171486	4716924436618
16009484829053	-	4716982337674,4779014062218
4531031081098	8359006863582,4740727505034,8663647846622,4740690477194,8075554226398	4778252664970,4778175692938,4782908407946
15924644446589	8015156281566,7855586017502,15924647985533	4531290308746,4389479284874,4389326848138
15924647985533	8015156281566,7855586017502,15924644446589	4531290308746,4389479284874,4389326848138
15924654473597	15924662272381	4531290308746,4389479284874,4389326848138
15924662272381	15924654473597	4531290308746,4389479284874,4389326848138
15924632420733	15924618756477	4531290308746,4389479284874,4389326848138
15924618756477	15924632420733	4531290308746,4389479284874,4389326848138
4779014062218	4778981163146,7873518272734	8015156281566,4778981163146
15924714996093	15924720009597,15924710277501	7696894492894
15924720009597	15924714996093,15924705067389	7696894492894
15924710277501	15924705067389	7696894492894
15924705067389	15924710277501	7696894492894
4716982337674	4778981163146,4779014062218,7873518272734	-
8339286589662	8475364720862,8475374977246,8164178198750,8340562575582,4745640771722,8164171219166	14933887877501,8664074092766,8339297796318,14933939028349,14933921005949
16008994718077	-	-
4782908407946	4778252664970,4716677398666,16009492332925	4778252664970,16009492332925,4778175692938
8664074092766	8359141114078,4743994507402,8475372093662	7965862789342
16009351332221	-	16009484829053
16009841377661	16009725706621,16009693626749,8391319191774	8339286589662,16009484829053,4716982337674
16009186279805	-	16009484829053
16009170878845	-	16009484829053
16009123201405	-	16009484829053
16009089515901	-	16009484829053
7873518272734	7710569038046,7710738055390,7710743789790,7710682874078,7710714364126,7710439211230,7710224023774	7710439211230,7710224023774,7710682874078,7710714364126,7710738055390,7710743789790,7710569038046
16008808628605	-	-
16009725706621	16009693626749,4778252664970,16008958148989	4779014062218,4716982337674,16009123201405,16009484829053
16008789950845	-	-
