15877018354045	intensive-remedy-shampoo-1000	Wash	Care,Edelstein,Outlet,Reconstruction,Repair,Shampoo,Split Ends
15877019566461	intensive-remedy-shampoo-300	Wash	Care,Edelstein,Outlet,Reconstruction,Repair,Shampoo,Split Ends
8257318158558	juicy-ultra-brightener	Styling	Coloured,Edelstein,Essential,Finish,Outlet,Spray,Styling
4740727505034	bleach-9-tones	Bleaching	Bleaching,Code Zero
8075554226398	lightening-cream-black	Bleaching	Bleaching,Code Zero
4745377087626	liquid-fresh-gel	Styling	Code Zero,Final,Gel,Outlet
15874400944509	liss-komplex-alkaline-shampoo	Wash	Care,Edelstein,Frizz Free,Liss Komplex,Shampoo,Smooth,Trending
15167757812093	liss-komplex-complete-kit	Bundle	Care,Edelstein,Frizz Free,Kit,Liss Komplex,Pro,Promo,Smooth,Treatment
15167021384061	liss-komplex-essentials-kit	Bundle	Care,Edelstein,Frizz Free,Liss Komplex,Promo,Routine,Smooth
15874500690301	liss-komplex-hydra-mask	Wash	Care,Edelstein,Frizz Free,Liss Komplex,Mask,Smooth
15874396488061	liss-komplex-hydra-shampoo	Wash	Care,Edelstein,Frizz Free,Liss Komplex,Shampoo,Smooth
8498897715422	liss-komplex-pro-kit	Bundle	Care,Edelstein,Frizz Free,Kit,Liss Komplex,Pro,Promo,Smooth,Treatment
15874500329853	liss-komplex-restoring-mask	Wash	Care,Edelstein,Frizz Free,Liss Komplex,Mask,Smooth
8463114502366	liss-komplex-treatment	Treatment	Care,Edelstein,Frizz Free,Liss Komplex,Pro,Smooth,Treatment
4389479284874	nika-maximum	Treatment	Care,Fairy Silk,Frizz Free,Nika,Smooth,Trending
6949632147606	nika-miracle	Care	Care,K-perfection,Keratin,Nika,Reconstruction,Spray
4869714149514	necks-cover	Tools	Tools
7710682874078	nika-new-density-shampoo	Wash	Care,Healthy Scalp,Loss,Nika,Shampoo,Treatment,Trending
7710714364126	nika-new-density-treatment	Treatment	Care,Healthy Scalp,Loss,Nika,Trending
15875496083837	ngy-blonde-silver-protocol	Bundle	Anti-Yellow,Code Zero,Kit,Pro
15875492479357	ngy-blonde-silver-ritual	Bundle	Anti-Yellow,Code Zero,Essential,Routine
15924569342333	nika-age-restore-deep-conditioner-250	Wash	Age Restore,Care,Conditioner,Hydration,Nika
15924597358973	nika-age-restore-deep-conditioner-500	Wash	Age Restore,Care,Conditioner,Hydration,Nika
15924517601661	nika-age-restore-shampoo-1000	Wash	Age Restore,Care,Hydration,Nika,Shampoo
15924484112765	nika-age-restore-shampoo-250	Wash	Age Restore,Care,Hydration,Nika,Shampoo
4778175692938	nk-application-brush	Tools	Merchandising,Nika,Tools
8391319191774	nika-apron	Clothing	Clothing,Merchandising,Nika
16009693626749	nika-bag-for-trainer	Marketing	Marketing,Merchandising,Nika
16009492332925	nika-bowl	Tools	Merchandising,Nika,Tools
4778252664970	nika-bowl-black	Tools	Merchandising,Nika,Tools
6573834141846	bac-bar-nika-care	Marketing	Marketing,Merchandising,Nika
16008915681661	nika-counter-expo	Marketing	Marketing,Merchandising,Nika
4871907442826	nika-disposable-cape	Tools	Clothing,Merchandising,Nika
16009484829053	nika-dressing-brush	Tools	Merchandising,Nika,Tools
